Year	cancer	histology	MRI	radiology	Omics	Drug Discovery	Clinical trial
2023	7064.00	1934.00	3325.00	5021.00	459.00	935.00	771.00
2022	6998.00	2425.00	3623.00	5178.00	460.00	921.00	871.00
2021	6245.00	2731.00	3478.00	4618.00	354.00	863.00	756.00
2020	4755.00	2720.00	2825.00	3456.00	259.00	563.00	585.00
2019	3325.00	2539.00	2344.00	2296.00	185.00	518.00	453.00
2018	2039.00	2020.00	1757.00	1385.00	105.00	354.00	329.00
2017	1326.00	1702.00	1510.00	842.00	59.00	218.00	229.00
2016	1075.00	1449.00	1276.00	637.00	47.00	174.00	182.00
2015	1084.00	1637.00	1200.00	591.00	30.00	177.00	212.00
2014	1208.00	1750.00	1092.00	548.00	31.00	131.00	229.00
2013	1349.00	1730.00	953.00	436.00	19.00	157.00	283.00
2012	1175.00	1409.00	795.00	369.00	11.00	94.00	216.00
2011	991.00	1332.00	699.00	329.00	8.00	102.00	233.00
2010	791.00	1129.00	585.00	325.00	5.00	80.00	144.00
